"Name","State","District","Party","Room","Phone","House Positions","Committee Assignment"
"McNerney, Jerry","California","9","D","2265 RHOB","202-225-1947","",""
"Denham, Jeff","California","10","R","1730 LHOB","202-225-4540","",""
"DeSaulnier, Mark","California","11","D","115 CHOB","202-225-2095","",""
"Pelosi, Nancy","California","12","D","233 CHOB","202-225-4965","House Minority Leader",""
"Calvert, Ken","California","12","R","2205 RHOB","202-225-1986","",""
"Lee, Barbara","California","13","D","2267 RHOB","202-225-2661","",""
"Speier, Jackie","California","14","D","2465 RHOB","202-225-3531","",""
"Swalwell, Eric","California","15","D","129 CHOB","202-225-5065","",""
"Costa, Jim","California","16","D","2081 RHOB","202-225-3341","",""
"Khanna, Ro","California","17","D","513 CHOB","202-225-2631","",""
"Eshoo, Anna G.","California","18","D","241 CHOB","202-225-8104","",""
"Lofgren, Zoe","California","19","D","1401 LHOB","202-225-3072","",""
"Panetta, Jimmy","California","20","D","228 CHOB","202-225-2861","",""
"Valadao, David","California","21","R","1728 LHOB","202-225-4695","",""
"Nunes, Devin","California","22","R","1013 LHOB","202-225-2523","",""
"McCarthy, Kevin","California","23","R","2421 RHOB","202-225-2915","House Majority Leader",""
"Carbajal, Salud","California","24","D","212 CHOB","202-225-3601","",""
"Knight, Steve","California","25","R","1023 LHOB","202-225-1956","",""
"Brownley, Julia","California","26","D","1019 LHOB","202-225-5811","",""
"Chu, Judy","California","27","D","2423 RHOB","202-225-5464","",""
"Schiff, Adam","California","28","D","2372 RHOB","202-225-4176","",""
"Cárdenas, Tony","California","29","D","1510 LHOB","202-225-6131","",""
"Sherman, Brad","California","30","D","2181 RHOB","202-225-5911","",""
"Aguilar, Pete","California","31","D","1223 LHOB","202-225-3201","",""
"Napolitano, Grace","California","32","D","1610 LHOB","202-225-5256","",""
"Lieu, Ted","California","33","D","236 CHOB","202-225-3976","",""
"Becerra, Xavier","California","34","D","1226 LHOB","202-225-6235","",""
"Torres, Norma","California","35","D","1713 LHOB","202-225-6161","",""
"Ruiz, Raul","California","36","D","1319 LHOB","202-225-5330","",""
"Bass, Karen","California","37","D","2241 RHOB","202-225-7084","",""
"Sánchez, Linda","California","38","D","2329 RHOB","202-225-6676","","Ethics"
"Royce, Ed","California","39","R","2310 RHOB","202-225-4111","","Foreign Affairs"
"Roybal-Allard, Lucille","California","40","D","2083 RHOB","202-225-1766","",""
"Takano, Mark","California","41","D","1507 LHOB","202-225-2305","",""
"Waters, Maxine","California","43","D","2221 RHOB","202-225-2201","","Financial Services"
"Barragán, Nanette","California","44","D","1320 LHOB","202-225-8220","",""
"Walters, Mimi","California","45","R","215 CHOB","202-225-5611","",""
"Correa, J. Luis","California","46","D","1039 LHOB","202-225-2965","",""
"Lowenthal, Alan","California","47","D","125 CHOB","202-225-7924","",""
"Rohrabacher, Dana","California","48","R","2300 RHOB","202-225-2415","",""
"Issa, Darrell","California","49","R","2269 RHOB","202-225-3906","",""
"Hunter, Duncan D.","California","50","R","2429 RHOB","202-225-5672","",""
"Vargas, Juan","California","51","D","1605 LHOB","202-225-8045","",""
"Peters, Scott","California","52","D","1122 LHOB","202-225-0508","",""
"Davis, Susan","California","53","D","1214 LHOB","202-225-2040","",""
"DeGette, Diana","Colorado","1","D","2111 RHOB","202-225-4431","",""
"Polis, Jared","Colorado","2","D","1727 LHOB","202-225-2161","","Rules"
"Tipton, Scott","Colorado","3","R","218 CHOB","202-225-4761","",""
"Buck, Ken","Colorado","4","R","1130 LHOB","202-225-4676","","Rules"
"Lamborn, Doug","Colorado","5","R","2402 RHOB","202-225-4422","",""
"Coffman, Mike","Colorado","6","R","2443 RHOB","202-225-7882","",""
"Perlmutter, Ed","Colorado","7","D","1410 LHOB","202-225-2645","",""
"Larson, John B.","Connecticut","1","D","1501 LHOB","202-225-2265","",""
"Courtney, Joe","Connecticut","2","D","2348 RHOB","202-225-2076","",""
"DeLauro, Rosa L.","Connecticut","3","D","2413 RHOB","202-225-3661","",""
"Himes, Jim","Connecticut","4","D","1227 LHOB","202-225-5541","",""
"Esty, Elizabeth","Connecticut","5","D","221 CHOB","202-225-4476","",""
"Blunt Rochester, Lisa","Delaware","10","D","1123 LHOB","202-225-4165","",""
"Norton, Eleanor Holmes","District of Columbia","10","D","2136 RHOB","202-225-8050","",""
"Gaetz, Matt","Florida","1","R","507 CHOB","202-225-4136","",""
"Dunn, Neal","Florida","2","R","423 CHOB","202-225-5235","",""
"Yoho, Ted","Florida","3","R","511 CHOB","202-225-5744","",""
"Rutherford, John","Florida","4","R","230 CHOB","202-225-2501","",""
"Lawson, Al","Florida","5","D","1337 LHOB","202-225-0123","",""
"DeSantis, Ron","Florida","6","R","1524 LHOB","202-225-2706","",""
"Murphy, Stephanie","Florida","7","D","1237 LHOB","202-225-4035","",""
"Posey, Bill","Florida","8","R","2150 RHOB","202-225-3671","",""
"Soto, Darren","Florida","9","D","1429 LHOB","202-225-9889","",""
"Demings, Val","Florida","10","D","238 CHOB","202-225-2176","",""
"Webster, Daniel","Florida","11","R","1210 LHOB","202-225-1002","",""
"Bilirakis, Gus M.","Florida","12","R","2112 RHOB","202-225-5755","",""
"Crist, Charlie","Florida","13","D","427 CHOB","202-225-5961","",""
"Castor, Kathy","Florida","14","D","2052 RHOB","202-225-3376","",""
"Ross, Dennis","Florida","15","R","436 CHOB","202-225-1252","",""
"Buchanan, Vern","Florida","16","R","2104 RHOB","202-225-5015","",""
"Rooney, Tom","Florida","17","R","2160 RHOB","202-225-5792","",""
"Mast, Brian","Florida","18","R","2182 RHOB","202-225-3026","",""
"Rooney, Francis","Florida","19","R","120 CHOB","202-225-2536","",""
"Hastings, Alcee L.","Florida","20","D","2353 RHOB","202-225-1313","","Rules"
"Frankel, Lois","Florida","21","D","1037 LHOB","202-225-3001","",""
"Deutch, Ted","Florida","22","D","2447 RHOB","202-225-9890","",""
"Wasserman Schultz, Debbie","Florida","23","D","1114 LHOB","202-225-7931","",""
"Wilson, Frederica","Florida","24","D","2445 RHOB","202-225-4506","",""
"Diaz-Balart, Mario","Florida","25","R","440 CHOB","202-225-4211","",""
"Curbelo, Carlos","Florida","26","R","1404 LHOB","202-225-2778","",""
"Ros-Lehtinen, Ileana","Florida","27","R","2206 RHOB","202-225-3931","",""
"Carter, Buddy","Georgia","1","R","432 CHOB","202-225-5831","",""
"Bishop Jr., Sanford D.","Georgia","2","D","2407 RHOB","202-225-3631","",""
"Ferguson, A. Drew","Georgia","3","R","1032 LHOB","202-225-5901","",""
"Johnson, Henry C. ""Hank"" Jr.","Georgia","4","D","2240 RHOB","202-225-1605","",""
"Lewis, John","Georgia","5","D","343 CHOB","202-225-3801","",""
"Price, Tom","Georgia","6","R","1211 LHOB","202-225-4501","",""
"Woodall, Robert","Georgia","7","R","1724 LHOB","202-225-4272","","Rules"
"Scott, Austin","Georgia","8","R","2417 RHOB","202-225-6531","",""
"Collins, Doug","Georgia","9","R","1504 LHOB","202-225-9893","","Rules"
"Hice, Jody","Georgia","10","R","324 CHOB","202-225-4101","",""
"Loudermilk, Barry","Georgia","11","R","329 CHOB","202-225-2931","","House Administration"
"Allen, Rick","Georgia","12","R","426 CHOB","202-225-2823","",""
"Scott, David","Georgia","13","D","225 CHOB","202-225-2939","",""
"Graves, Tom","Georgia","14","R","2078 RHOB","202-225-5211","",""
"Bordallo, Madeleine","Guam","10","D","2441 RHOB","202-225-1188","",""
"Hanabusa, Colleen","Hawaii","1","D","422 CHOB","202-225-2726","",""
"Gabbard, Tulsi","Hawaii","2","D","1433 LHOB","202-225-4906","",""
"Labrador, Raul R.","Idaho","1","R","1523 LHOB","202-225-6611","",""
"Simpson, Mike","Idaho","2","R","2084 RHOB","202-225-5531","",""
"Rush, Bobby L.","Illinois","1","D","2188 RHOB","202-225-4372","",""
"Kelly, Robin","Illinois","2","D","1239 LHOB","202-225-0773","",""
"Lipinski, Daniel","Illinois","3","D","2346 RHOB","202-225-5701","",""
"Gutierrez, Luis","Illinois","4","D","2408 RHOB","202-225-8203","",""
"Quigley, Mike","Illinois","5","D","2458 RHOB","202-225-4061","",""
"Roskam, Peter J.","Illinois","6","R","2246 RHOB","202-225-4561","",""
"Davis, Danny K.","Illinois","7","D","2159 RHOB","202-225-5006","",""
"Krishnamoorthi, Raja","Illinois","8","D","515 CHOB","202-225-3711","",""
"Schakowsky, Jan","Illinois","9","D","2367 RHOB","202-225-2111","",""
"Schneider, Bradley","Illinois","10","D","1432 LHOB","202-225-4835","",""
"Foster, Bill","Illinois","11","D","1224 LHOB","202-225-3515","",""
"Bost, Mike","Illinois","12","R","1440 LHOB","202-225-5661","",""
"Davis, Rodney","Illinois","13","R","1740 LHOB","202-225-2371","","House Administration"
"Hultgren, Randy","Illinois","14","R","2455 RHOB","202-225-2976","",""
"Shimkus, John","Illinois","15","R","2217 RHOB","202-225-5271","",""
"Kinzinger, Adam","Illinois","16","R","2245 RHOB","202-225-3635","",""
"Bustos, Cheri","Illinois","17","D","1009 LHOB","202-225-5905","",""
"LaHood,Darin","Illinois","18","R","1424 LHOB","202-225-6201","",""
"Visclosky, Peter","Indiana","1","D","2328 RHOB","202-225-2461","",""
"Walorski, Jackie","Indiana","2","R","419 CHOB","202-225-3915","",""
"Banks, Jim","Indiana","3","R","509 CHOB","202-225-4436","",""
"Rokita, Todd","Indiana","4","R","2439 RHOB","202-225-5037","",""
"Brooks, Susan W.","Indiana","5","R","1030 LHOB","202-225-2276","","Ethics"
"Messer, Luke","Indiana","6","R","1230 LHOB","202-225-3021","Republican Policy Committee Chair",""
"Carson, André","Indiana","7","D","2135 RHOB","202-225-4011","",""
"Bucshon, Larry","Indiana","8","R","1005 LHOB","202-225-4636","",""
"Hollingsworth, Trey","Indiana","9","R","1641 LHOB","202-225-5315","",""
"Blum, Rod","Iowa","1","R","1108 LHOB","202-225-2911","",""
"Loebsack, David","Iowa","2","D","1527 LHOB","202-225-6576","",""
"Young, David","Iowa","3","R","240 CHOB","202-225-5476","",""
"King, Steve","Iowa","4","R","2210 RHOB","202-225-4426","",""
"Marshall, Roger","Kansas","1","R","312 CHOB","202-225-2715","",""
"Jenkins, Lynn","Kansas","2","R","1526 LHOB","202-225-6601","",""
"Yoder, Kevin","Kansas","3","R","2433 RHOB","202-225-2865","",""
"Pompeo, Mike","Kansas","4","R","2452 RHOB","202-225-6216","",""
"Comer, James","Kentucky","1","R","1513 LHOB","202-225-3115","",""
"Guthrie, S. Brett","Kentucky","2","R","2434 RHOB","202-225-3501","",""
"Yarmuth, John A.","Kentucky","3","D","131 CHOB","202-225-5401","","Budget"
"Massie, Thomas","Kentucky","4","R","2453 RHOB","202-225-3465","",""
"Rogers, Harold","Kentucky","5","R","2406 RHOB","202-225-4601","",""
"Barr, Andy","Kentucky","6","R","1427 LHOB","202-225-4706","",""
"Scalise, Steve","Louisiana","1","R","2338 RHOB","202-225-3015","House Majority Whip",""
"Richmond, Cedric","Louisiana","2","D","420 CHOB","202-225-6636","",""
"Higgins, Clay","Louisiana","3","R","1711 LHOB","202-225-2031","",""
"Johnson, Mike","Louisiana","4","R","327 CHOB","202-225-2777","",""
"Abraham, Ralph","Louisiana","5","R","417 CHOB","202-225-8490","",""
"Graves, Garret","Louisiana","6","R","430 CHOB","202-225-3901","",""
"Pingree, Chellie","Maine","1","D","2162 RHOB","202-225-6116","",""
"Poliquin, Bruce","Maine","2","R","1208 LHOB","202-225-6306","",""
"Harris, Andy","Maryland","1","R","1533 LHOB","202-225-5311","",""
"Ruppersberger, C. A. Dutch","Maryland","2","D","2416 RHOB","202-225-3061","",""
"Sarbanes, John P.","Maryland","3","D","2444 RHOB","202-225-4016","",""
"Brown, Anthony","Maryland","4","D","1505 LHOB","202-225-8699","",""
"Hoyer, Steny H.","Maryland","5","D","1705 LHOB","202-225-4131","House Minority Whip",""
"Delaney, John","Maryland","6","D","1632 LHOB","202-225-2721","",""
"Cummings, Elijah","Maryland","7","D","2163 RHOB","202-225-4741","","Oversight and Government"
"Raskin, Jamie","Maryland","8","D","431 CHOB","202-225-5341","",""
"Neal, Richard E.","Massachusetts","1","D","341 CHOB","202-225-5601","","Ways and Means"
"McGovern, James","Massachusetts","2","D","438 CHOB","202-225-6101","","Rules"
"Tsongas, Niki","Massachusetts","3","D","1714 LHOB","202-225-3411","",""
"Kennedy III, Joseph P.","Massachusetts","4","D","434 CHOB","202-225-5931","",""
"Clark, Katherine","Massachusetts","5","D","1415 LHOB","202-225-2836","",""
"Moulton, Seth","Massachusetts","6","D","1408 LHOB","202-225-8020","",""
"Capuano, Michael E.","Massachusetts","7","D","1414 LHOB","202-225-5111","",""
"Lynch, Stephen F.","Massachusetts","8","D","2268 RHOB","202-225-8273","",""
"Keating, William","Massachusetts","9","D","2351 RHOB","202-225-3111","",""
"Bergman, Jack","Michigan","1","R","414 CHOB","202-225-4735","",""
"Huizenga, Bill","Michigan","2","R","2232 RHOB","202-225-4401","",""
"Amash, Justin","Michigan","3","R","114 CHOB","202-225-3831","",""
"Moolenaar, John","Michigan","4","R","117 CHOB","202-225-3561","",""
"Kildee, Daniel","Michigan","5","D","227 CHOB","202-225-3611","",""
"Upton, Fred","Michigan","6","R","2183 RHOB","202-225-3761","",""
"Walberg, Tim","Michigan","7","R","2436 RHOB","202-225-6276","",""
"Bishop, Mike","Michigan","8","R","428 CHOB","202-225-4872","",""
"Levin, Sander","Michigan","9","D","1236 LHOB","202-225-4961","",""
"Mitchell, Paul","Michigan","10","R","211 CHOB","202-225-2106","",""
"Trott, Dave","Michigan","11","R","1722 LHOB","202-225-8171","",""
"Dingell, Debbie","Michigan","12","D","116 CHOB","202-225-4071","",""
"Conyers Jr., John","Michigan","13","D","2426 RHOB","202-225-5126","",""
"Lawrence, Brenda","Michigan","14","D","1213 LHOB","202-225-5802","",""
"Walz, Timothy J.","Minnesota","1","D","2313 RHOB","202-225-2472","",""
"Lewis, Jason","Minnesota","2","R","418 CHOB","202-225-2271","",""
"Paulsen, Erik","Minnesota","3","R","127 CHOB","202-225-2871","",""
"McCollum, Betty","Minnesota","4","D","2256 RHOB","202-225-6631","",""
"Ellison, Keith","Minnesota","5","D","2263 RHOB","202-225-4755","",""
"Emmer, Tom","Minnesota","6","R","315 CHOB","202-225-2331","",""
"Peterson, Collin C.","Minnesota","7","D","2204 RHOB","202-225-2165","","Agriculture"
"Nolan, Rick","Minnesota","8","D","2366 RHOB","202-225-6211","",""
"Kelly, Trent","Mississippi","1","R","1721 LHOB","202-225-4306","",""
"Thompson, Bennie G.","Mississippi","2","D","2466 RHOB","202-225-5876","","Homeland Security"
"Harper, Gregg","Mississippi","3","R","2227 RHOB","202-225-5031","","House Administration"
"Palazzo, Steven","Mississippi","4","R","2349 RHOB","202-225-5772","",""
"Clay Jr., William ""Lacy""","Missouri","1","D","2428 RHOB","202-225-2406","",""
"Wagner, Ann","Missouri","2","R","435 CHOB","202-225-1621","",""
"Luetkemeyer, Blaine","Missouri","3","R","2230 RHOB","202-225-2956","",""
"Hartzler, Vicky","Missouri","4","R","2235 RHOB","202-225-2876","",""
"Cleaver, Emanuel","Missouri","5","D","2335 RHOB","202-225-4535","",""
"Graves, Sam","Missouri","6","R","1135 LHOB","202-225-7041","",""
"Long, Billy","Missouri","7","R","2454 RHOB","202-225-6536","",""
"Smith, Jason","Missouri","8","R","1118 LHOB","202-225-4404","",""
"Zinke, Ryan","Montana","10","R","1419 LHOB","202-225-3211","",""
"Fortenberry, Jeff","Nebraska","1","R","1514 LHOB","202-225-4806","",""
"Bacon, Don","Nebraska","2","R","1516 LHOB","202-225-4155","",""
"Smith, Adrian","Nebraska","3","R","320 CHOB","202-225-6435","","House Administration"
"Titus, Dina","Nevada","1","D","2464 RHOB","202-225-5965","",""
"Amodei, Mark","Nevada","2","R","332 CHOB","202-225-6155","",""
"Rosen, Jacky","Nevada","3","D","413 CHOB","202-225-3252","",""
"Kihuen, Ruben","Nevada","4","D","313 CHOB","202-225-9894","",""
"Shea-Porter, Carol","New Hampshire","1","D","1530 LHOB","202-225-5456","",""
"Kuster, Ann","New Hampshire","2","D","137 CHOB","202-225-5206","",""
"Norcross, Donald","New Jersey","1","D","1531 LHOB","202-225-6501","",""
"LoBiondo, Frank","New Jersey","2","R","2427 RHOB","202-225-6572","",""
"MacArthur, Tom","New Jersey","3","R","506 CHOB","202-225-4765","",""
"Smith, Chris","New Jersey","4","R","2373 RHOB","202-225-3765","",""
"Gottheimer, Josh","New Jersey","5","D","213 CHOB","202-225-4465","",""
"Pallone Jr., Frank","New Jersey","6","D","237 CHOB","202-225-4671","","Energy and Commerce"
"Lance, Leonard","New Jersey","7","R","2352 RHOB","202-225-5361","","Ethics"
"Sires, Albio","New Jersey","8","D","2342 RHOB","202-225-7919","",""
"Pascrell Jr., Bill","New Jersey","9","D","2370 RHOB","202-225-5751","",""
"Payne Jr., Donald","New Jersey","10","D","132 CHOB","202-225-3436","",""
"Frelinghuysen, Rodney","New Jersey","11","R","2306 RHOB","202-225-5034","","Appropriations"
"Watson Coleman, Bonnie","New Jersey","12","D","1535 LHOB","202-225-5801","",""
"Lujan Grisham, Michelle","New Mexico","1","D","214 CHOB","202-225-6316","",""
"Pearce, Steve","New Mexico","2","R","2432 RHOB","202-225-2365","",""
"Lujan, Ben R.","New Mexico","3","D","2231 RHOB","202-225-6190","",""
"Zeldin, Lee","New York","1","R","1517 LHOB","202-225-3826","",""
"King, Pete","New York","2","R","339 CHOB","202-225-7896","",""
"Suozzi, Thomas","New York","3","D","226 CHOB","202-225-3335","",""
"Rice, Kathleen","New York","4","D","1508 LHOB","202-225-5516","",""
"Meeks, Gregory W.","New York","5","D","2234 RHOB","202-225-3461","",""
"Meng, Grace","New York","6","D","1317 LHOB","202-225-2601","",""
"Velázquez, Nydia M.","New York","7","D","2302 RHOB","202-225-2361","","Small Business"
"Jeffries, Hakeem","New York","8","D","1607 LHOB","202-225-5936","",""
"Clarke, Yvette D.","New York","9","D","2058 RHOB","202-225-6231","",""
"Nadler, Jerrold","New York","10","D","2109 RHOB","202-225-5635","",""
"Donovan, Daniel","New York","11","R","1541 LHOB","202-225-3371","",""
"Maloney, Carolyn","New York","12","D","2308 RHOB","202-225-7944","",""
"Espaillat, Adriano","New York","13","D","1630 LHOB","202-225-4365","",""
"Crowley, Joseph","New York","14","D","1035 LHOB","202-225-3965","Democratic Caucus Chair",""
"Serrano, José E.","New York","15","D","2354 RHOB","202-225-4361","",""
"Engel, Eliot","New York","16","D","2462 RHOB","202-225-2464","","Foreign Affairs"
"Lowey, Nita","New York","17","D","2365 RHOB","202-225-6506","","Appropriations"
"Maloney, Sean Patrick","New York","18","D","1027 LHOB","202-225-5441","",""
"Faso, John","New York","19","R","1616 LHOB","202-225-5614","",""
"Tonko, Paul D.","New York","20","D","2463 RHOB","202-225-5076","",""
"Stefanik, Elise","New York","21","R","318 CHOB","202-225-4611","",""
"Tenney, Claudia","New York","22","R","512 CHOB","202-225-3665","",""
"Reed, Tom","New York","23","R","2437 RHOB","202-225-3161","",""
"Katko, John","New York","24","R","1620 LHOB","202-225-3701","",""
"Slaughter, Louise","New York","25","D","2469 RHOB","202-225-3615","","Rules"
"Higgins, Brian","New York","26","D","2459 RHOB","202-225-3306","",""
"Collins, Chris","New York","27","R","1117 LHOB","202-225-5265","",""
"Butterfield, G.K.","North Carolina","1","D","2080 RHOB","202-225-3101","",""
"Holding, George","North Carolina","2","R","1110 LHOB","202-225-3032","",""
"Jones, Walter B.","North Carolina","3","R","2333 RHOB","202-225-3415","",""
"Price, David","North Carolina","4","D","2108 RHOB","202-225-1784","",""
"Foxx, Virginia","North Carolina","5","R","2262 RHOB","202-225-2071","","Education and the Workforce"
"Walker, Mark","North Carolina","6","R","1305 LHOB","202-225-3065","","House Administration"
"Rouzer, David","North Carolina","7","R","424 CHOB","202-225-2731","",""
"Hudson, Richard","North Carolina","8","R","429 CHOB","202-225-3715","",""
"Pittenger, Robert","North Carolina","9","R","224 CHOB","202-225-1976","",""
"McHenry, Patrick T.","North Carolina","10","R","2334 RHOB","202-225-2576","",""
"Meadows, Mark","North Carolina","11","R","1024 LHOB","202-225-6401","",""
"Adams, Alma","North Carolina","12","D","222 CHOB","202-225-1510","",""
"Budd, Ted","North Carolina","13","R","118 CHOB","202-225-4531","",""
"Cramer, Kevin","North Dakota","10","R","1717 LHOB","202-225-2611","",""
"Sablan, Gregorio","Northern Mariana Islands","10","D","2411 RHOB","202-225-2646","",""
"Chabot, Steve","Ohio","1","R","2371 RHOB","202-225-2216","","Small Business"
"Wenstrup, Brad","Ohio","2","R","2419 LHOB","202-225-3164","",""
"Beatty, Joyce","Ohio","3","D","133 CHOB","202-225-4324","",""
"Jordan, Jim","Ohio","4","R","2056 RHOB","202-225-2676","",""
"Latta, Robert E.","Ohio","5","R","2448 RHOB","202-225-6405","",""
"Johnson, Bill","Ohio","6","R","1710 LHOB","202-225-5705","",""
"Gibbs, Bob","Ohio","7","R","2446 RHOB","202-225-6265","",""
"Davidson, Warren","Ohio","8","R","1004 LHOB","202-225-6205","",""
"Kaptur, Marcy","Ohio","9","D","2186 RHOB","202-225-4146","",""
"Turner, Michael","Ohio","10","R","2368 RHOB","202-225-6465","",""
"Fudge, Marcia L.","Ohio","11","D","2344 RHOB","202-225-7032","",""
"Tiberi, Pat","Ohio","12","R","1203 LHOB","202-225-5355","",""
"Ryan, Tim","Ohio","13","D","1126 LHOB","202-225-5261","",""
"Joyce, David","Ohio","14","R","1124 LHOB","202-225-5731","",""
"Stivers, Steve","Ohio","15","R","1022 LHOB","202-225-2015","",""
"Renacci, Jim","Ohio","16","R","328 CHOB","202-225-3876","",""
"Bridenstine, Jim","Oklahoma","1","R","216 CHOB","202-225-2211","",""
"Mullin, Markwayne","Oklahoma","2","R","1113 LHOB","202-225-2701","",""
"Lucas, Frank","Oklahoma","3","R","2405 RHOB","202-225-5565","",""
"Cole, Tom","Oklahoma","4","R","2467 RHOB","202-225-6165","","Rules"
"Russell, Steve","Oklahoma","5","R","128 CHOB","202-225-2132","",""
"Bonamici, Suzanne","Oregon","1","D","439 CHOB","202-225-0855","",""
"Walden, Greg","Oregon","2","R","2185 RHOB","202-225-6730","","Energy and Commerce"
"Blumenauer, Earl","Oregon","3","D","1111 LHOB","202-225-4811","",""
"DeFazio, Peter","Oregon","4","D","2134 RHOB","202-225-6416","",""
"Schrader, Kurt","Oregon","5","D","2431 RHOB","202-225-5711","",""
"Brady, Robert","Pennsylvania","1","D","2004 RHOB","202-225-4731","","House Administration"
"Evans, Dwight","Pennsylvania","2","D","1105 LHOB","202-225-4001","",""
"Kelly, Mike","Pennsylvania","3","R","1707 LHOB","202-225-5406","",""
"Perry, Scott","Pennsylvania","4","R","1207 LHOB","202-225-5836","",""
"Thompson, Glenn W.","Pennsylvania","5","R","124 CHOB","202-225-5121","",""
"Costello, Ryan","Pennsylvania","6","R","326 CHOB","202-225-4315","",""
"Meehan, Pat","Pennsylvania","7","R","2305 RHOB","202-225-2011","","Ethics"
"Fitzpatrick, Brian","Pennsylvania","8","R","514 CHOB","202-225-4276","",""
"Shuster, Bill","Pennsylvania","9","R","2079 RHOB","202-225-2431","","Transportation"
"Marino, Tom","Pennsylvania","10","R","2242 RHOB","202-225-3731","",""
"Barletta, Lou","Pennsylvania","11","R","2049 RHOB","202-225-6511","",""
"Rothfus, Keith","Pennsylvania","12","R","1205 LHOB","202-225-2065","",""
"Boyle, Brendan","Pennsylvania","13","D","1133 LHOB","202-225-6111","",""
"Doyle, Mike","Pennsylvania","14","D","239 CHOB","202-225-2135","",""
"Dent, Charles W.","Pennsylvania","15","R","2082 RHOB","202-225-6411","",""
"Smucker, Lloyd","Pennsylvania","16","R","516 CHOB","202-225-2411","",""
"Cartwright, Matthew","Pennsylvania","17","D","1034 LHOB","202-225-5546","",""
"Murphy, Tim","Pennsylvania","18","R","2332 RHOB","202-225-2301","",""
"González-Colón, Jenniffer","Puerto Rico","10","R","1529 LHOB","202-225-2615","",""
"Cicilline, David","Rhode Island","1","D","2244 RHOB","202-225-4911","",""
"Langevin, Jim","Rhode Island","2","D","2077 RHOB","202-225-2735","",""
"Sanford, Mark","South Carolina","1","R","2211 RHOB","202-225-3176","",""
"Wilson, Joe","South Carolina","2","R","1436 LHOB","202-225-2452","",""
"Duncan, Jeff","South Carolina","3","R","2229 RHOB","202-225-5301","",""
"Gowdy, Trey","South Carolina","4","R","2418 RHOB","202-225-6030","","Ethics"
"Mulvaney, Mick","South Carolina","5","R","2350 RHOB","202-225-5501","",""
"Clyburn, James E.","South Carolina","6","D","242 CHOB","202-225-3315","Assistant Democratic Leader",""
"Rice, Tom","South Carolina","7","R","223 CHOB","202-225-9895","",""
"Noem, Kristi","South Dakota","10","R","2457 RHOB","202-225-2801","",""
"Roe, Phil","Tennessee","1","R","336 CHOB","202-225-6356","","Veterans Affairs"
"Duncan Jr., John J.","Tennessee","2","R","2207 RHOB","202-225-5435","",""
"Fleischmann, Chuck","Tennessee","3","R","2410 RHOB","202-225-3271","",""
"DesJarlais, Scott","Tennessee","4","R","2301 RHOB","202-225-6831","",""
"Cooper, Jim","Tennessee","5","D","1536 LHOB","202-225-4311","",""
"Black, Diane","Tennessee","6","R","1131 LHOB","202-225-4231","","Budget"
"Blackburn, Marsha","Tennessee","7","R","2266 RHOB","202-225-2811","",""
"Kustoff, David","Tennessee","8","R","508 CHOB","202-225-4714","",""
"Cohen, Steve","Tennessee","9","D","2404 RHOB","202-225-3265","",""
"Gohmert, Louie","Texas","1","R","2243 RHOB","202-225-3035","",""
